Year,White total
2010.0,31005.0
2011.0,30753.0
2012.0,30523.0
2013.0,29524.0
2014.0,27547.0
2015.0,25996.0
2016.0,23994.0
2017.0,22878.0
2018.0,21661.0
2019.0,19742.0
